Date,Open,High,Low,Close,Volume,Adj Close
2007-05-10,1896.42,1902.19,1874.24,1875.20,2237610000,1875.20
2007-05-09,1891.20,1909.30,1890.16,1905.65,2104220000,1905.65
2007-05-08,1890.08,1901.21,1883.01,1899.83,1897750000,1899.83
2007-05-07,1896.10,1901.42,1893.97,1895.96,1652300000,1895.96
2007-05-04,1902.40,1905.85,1888.40,1895.70,2214130000,1895.70
2007-05-03,1892.60,1899.49,1888.74,1895.64,2137140000,1895.64
2007-05-02,1874.56,1894.30,1874.39,1889.73,2073150000,1889.73
2007-05-01,1872.34,1876.19,1857.33,1873.43,2351750000,1873.43
2007-04-30,1891.81,1891.81,1867.75,1867.75,2080710000,1867.75
2007-04-27,1886.32,1894.97,1883.36,1891.06,2078160000,1891.06
2007-04-26,1889.58,1896.77,1884.26,1889.57,2406090000,1889.57
2007-04-25,1865.77,1883.58,1859.06,1881.33,2644120000,1881.33
2007-04-24,1856.32,1863.76,1844.05,1858.87,2220610000,1858.87
2007-04-23,1848.49,1854.75,1844.80,1850.18,1928530000,1850.18
2007-04-20,1848.69,1856.43,1838.77,1845.89,2084270000,1845.89
2007-04-19,1823.20,1840.28,1819.31,1832.47,2112920000,1832.47
2007-04-18,1828.76,1839.31,1823.29,1832.39,2046760000,1832.39
2007-04-17,1835.67,1838.10,1829.11,1834.91,1900920000,1834.91
2007-04-16,1823.69,1835.68,1823.69,1833.96,1779410000,1833.96
2007-04-13,1811.66,1818.42,1801.89,1816.85,1834320000,1816.85
2007-04-12,1795.15,1814.68,1788.40,1813.49,1905500000,1813.49
2007-04-11,1815.38,1815.73,1793.25,1798.09,1957970000,1798.09
2007-04-10,1807.06,1816.93,1806.91,1816.93,1834530000,1816.93
2007-04-09,1818.75,1819.04,1805.09,1808.19,1714880000,1808.19
2007-04-05,1801.10,1812.94,1798.53,1812.94,1537800000,1812.94
2007-04-04,1797.28,1804.54,1795.00,1801.74,1933300000,1801.74
2007-04-03,1782.50,1801.90,1781.89,1796.31,1932030000,1796.31
2007-04-02,1775.92,1779.30,1761.65,1773.33,1784170000,1773.33
2007-03-30,1772.86,1783.33,1758.10,1772.36,1998550000,1772.36
2007-03-29,1783.44,1783.48,1753.43,1771.72,1926070000,1771.72
2007-03-28,1781.66,1789.65,1770.54,1770.54,1868310000,1770.54
2007-03-27,1798.14,1798.89,1787.98,1789.93,1708060000,1789.93
2007-03-26,1796.01,1802.95,1774.96,1802.95,1817870000,1802.95
2007-03-23,1800.18,1804.63,1792.74,1794.04,1634470000,1794.04
2007-03-22,1806.76,1807.43,1793.38,1799.75,1887290000,1799.75
2007-03-21,1774.51,1806.35,1763.54,1806.35,2158740000,1806.35
2007-03-20,1759.49,1772.74,1757.94,1767.25,1761940000,1767.25
2007-03-19,1752.19,1764.37,1747.05,1758.23,1650970000,1758.23
2007-03-16,1743.58,1750.39,1733.58,1742.23,2031650000,1742.23
2007-03-15,1743.48,1749.58,1737.04,1744.87,1690430000,1744.87
2007-03-14,1724.65,1743.15,1711.28,1743.15,2255630000,1743.15
2007-03-13,1747.32,1756.22,1722.48,1722.48,2235000000,1722.48
2007-03-12,1742.98,1758.49,1742.05,1756.42,1637980000,1756.42
2007-03-09,1759.54,1760.96,1734.35,1744.74,1875050000,1744.74
2007-03-08,1753.60,1757.52,1741.47,1746.43,1989910000,1746.43
2007-03-07,1740.79,1746.86,1733.82,1736.10,1959330000,1736.10
2007-03-06,1730.39,1747.21,1727.12,1743.10,2121430000,1743.10
2007-03-05,1726.03,1739.05,1710.97,1712.94,2291680000,1712.94
2007-03-02,1740.87,1752.86,1726.03,1726.03,2352790000,1726.03
2007-03-01,1729.03,1768.96,1717.95,1753.45,2710750000,1753.45
2007-02-28,1754.88,1778.17,1746.29,1761.60,2620450000,1761.60
2007-02-27,1801.87,1808.08,1750.70,1756.27,3037380000,1756.27
2007-02-26,1848.48,1849.09,1819.76,1830.59,1912480000,1830.59
2007-02-23,1845.41,1846.77,1832.40,1839.77,2012220000,1839.77
2007-02-22,1845.47,1851.47,1832.60,1846.34,1850960000,1846.34
2007-02-21,1827.03,1839.13,1824.53,1839.13,2012450000,1839.13
2007-02-20,1817.84,1835.31,1808.11,1833.71,2165590000,1833.71
2007-02-16,1818.56,1823.37,1813.90,1821.49,1887430000,1821.49
2007-02-15,1815.49,1824.09,1813.07,1823.41,1949670000,1823.41
2007-02-14,1792.74,1818.55,1792.29,1814.98,2173580000,1814.98
2007-02-13,1782.16,1789.98,1778.66,1783.82,1821390000,1783.82
2007-02-12,1787.11,1787.11,1774.25,1778.42,1840250000,1778.42
2007-02-09,1815.22,1819.30,1780.44,1785.53,2186590000,1785.53
2007-02-08,1807.41,1814.48,1800.63,1810.54,1995880000,1810.54
2007-02-07,1803.23,1816.77,1796.18,1810.95,2198410000,1810.95
2007-02-06,1799.33,1800.05,1776.51,1793.06,2113710000,1793.06
2007-02-05,1796.48,1804.40,1789.72,1795.39,1875310000,1795.39
2007-02-02,1795.68,1800.39,1788.97,1798.13,1876770000,1798.13
2007-02-01,1801.60,1806.81,1785.54,1791.45,2170040000,1791.45
2007-01-31,1774.44,1798.49,1764.63,1792.28,2186710000,1792.28
2007-01-30,1780.26,1782.21,1772.03,1777.76,1769600000,1777.76
2007-01-29,1771.05,1786.97,1767.09,1775.08,1915400000,1775.08
2007-01-26,1783.38,1784.82,1763.30,1772.97,2067080000,1772.97
2007-01-25,1806.75,1810.24,1774.58,1777.75,2202280000,1777.75
2007-01-24,1785.42,1803.46,1781.82,1802.63,2202040000,1802.63
2007-01-23,1776.83,1790.07,1771.44,1773.40,2001100000,1773.40
2007-01-22,1800.33,1800.53,1771.24,1779.02,1900860000,1779.02
2007-01-19,1787.82,1802.22,1787.52,1796.81,2037890000,1796.81
2007-01-18,1821.99,1824.34,1789.39,1793.68,2456180000,1793.68
2007-01-17,1835.05,1843.07,1824.74,1827.68,2273880000,1827.68
2007-01-16,1844.73,1847.54,1836.83,1842.44,2139550000,1842.44
2007-01-12,1832.15,1845.68,1830.34,1844.81,2175810000,1844.81
2007-01-11,1820.75,1840.88,1818.09,1834.86,2436270000,1834.86
2007-01-10,1790.51,1817.22,1784.28,1816.15,2274210000,1816.15
2007-01-09,1791.75,1802.44,1776.73,1795.63,2144160000,1795.63
2007-01-08,1786.39,1795.45,1776.99,1787.14,1905620000,1787.14
2007-01-05,1787.79,1787.79,1770.29,1785.30,2060360000,1785.30
2007-01-04,1763.15,1799.07,1757.00,1792.91,2104210000,1792.91
2007-01-03,1769.22,1793.05,1731.71,1759.37,2435280000,1759.37
2006-12-29,1759.15,1774.64,1755.04,1756.90,1413920000,1756.90
2006-12-28,1757.59,1765.06,1752.64,1758.94,1237530000,1758.94
2006-12-27,1757.09,1766.15,1754.87,1763.41,1216260000,1763.41
2006-12-26,1746.86,1754.70,1746.07,1753.55,1016200000,1753.55
2006-12-22,1765.29,1765.98,1748.61,1748.61,1306530000,1748.61
2006-12-21,1780.53,1781.51,1759.08,1766.28,1732880000,1766.28
2006-12-20,1787.66,1795.41,1777.92,1777.92,1749530000,1777.92
2006-12-19,1776.61,1792.78,1766.35,1785.12,1960720000,1785.12
2006-12-18,1812.93,1820.94,1783.24,1790.99,1936350000,1790.99
2006-12-15,1818.21,1821.18,1805.45,1808.56,2324650000,1808.56
2006-12-14,1786.52,1811.08,1786.52,1803.41,1889510000,1803.41
2006-12-13,1793.86,1793.86,1774.05,1783.44,1782430000,1783.44
2006-12-12,1792.18,1794.05,1771.30,1781.97,1927540000,1781.97
2006-12-11,1786.21,1803.38,1779.65,1791.74,1813340000,1791.74
2006-12-08,1773.80,1799.22,1767.83,1786.21,1840600000,1786.21
2006-12-07,1802.56,1808.20,1777.20,1777.46,2051030000,1777.46
2006-12-06,1801.40,1804.88,1792.29,1799.13,1889000000,1799.13
2006-12-05,1806.50,1810.82,1797.37,1804.85,1990600000,1804.85
2006-12-04,1782.60,1808.12,1782.13,1799.93,1954530000,1799.93
2006-12-01,1790.63,1793.31,1760.01,1775.12,2040520000,1775.12
2006-11-30,1791.34,1800.47,1781.49,1791.25,2134200000,1791.25
2006-11-29,1787.65,1796.50,1776.10,1792.77,1903430000,1792.77
2006-11-28,1769.42,1782.65,1763.34,1780.34,1958630000,1780.34
2006-11-27,1810.91,1813.92,1775.17,1775.17,1950300000,1775.17
2006-11-24,1805.39,1824.21,1805.39,1815.53,681510000,1815.53
2006-11-22,1815.62,1820.20,1800.72,1819.76,1573120000,1819.76
2006-11-21,1807.34,1809.80,1800.30,1808.88,1660270000,1808.88
2006-11-20,1795.68,1808.71,1790.47,1803.81,1697480000,1803.81
2006-11-17,1791.67,1800.90,1788.05,1800.67,1732400000,1800.67
2006-11-16,1798.85,1806.00,1790.96,1801.97,2038830000,1801.97
2006-11-15,1787.33,1804.88,1786.71,1793.82,2103870000,1793.82
2006-11-14,1769.37,1787.88,1759.24,1787.23,1926370000,1787.23
2006-11-13,1751.84,1770.54,1749.52,1768.00,1720810000,1768.00
2006-11-10,1743.10,1751.11,1736.39,1751.11,1680460000,1751.11
2006-11-09,1760.05,1762.95,1736.66,1740.14,2380240000,1740.14
2006-11-08,1732.21,1757.18,1728.35,1749.75,2076020000,1749.75
2006-11-07,1731.81,1752.95,1728.27,1741.53,2088770000,1741.53
2006-11-06,1712.03,1736.54,1712.03,1732.26,1892250000,1732.26
2006-11-03,1714.27,1716.65,1693.19,1703.98,1830050000,1703.98
2006-11-02,1702.26,1714.37,1698.60,1710.17,1887310000,1710.17
2006-11-01,1738.55,1739.79,1702.18,1707.65,2027020000,1707.65
2006-10-31,1733.82,1739.33,1722.15,1732.54,1922150000,1732.54
2006-10-30,1715.79,1735.02,1711.85,1727.80,1724180000,1727.80
2006-10-27,1740.00,1741.61,1712.76,1717.61,2268950000,1717.61
2006-10-26,1730.73,1745.79,1718.53,1744.07,2339540000,1744.07
2006-10-25,1717.27,1729.90,1711.68,1726.76,2100780000,1726.76
2006-10-24,1723.79,1726.78,1706.22,1713.88,1856880000,1713.88
2006-10-23,1706.18,1732.52,1702.58,1725.93,1823480000,1725.93
2006-10-20,1706.37,1713.45,1695.21,1709.58,1922070000,1709.58
2006-10-19,1699.06,1713.43,1693.19,1706.37,2000690000,1706.37
2006-10-18,1718.01,1721.43,1695.37,1700.75,2130750000,1700.75
2006-10-17,1718.10,1718.10,1699.88,1709.61,2125950000,1709.61
2006-10-16,1728.23,1733.73,1725.70,1727.61,1823620000,1727.61
2006-10-13,1717.39,1729.26,1714.58,1727.21,1940530000,1727.21
2006-10-12,1699.05,1718.72,1697.47,1718.54,2003960000,1718.54
2006-10-11,1686.41,1701.58,1675.98,1691.28,1995600000,1691.28
2006-10-10,1693.22,1698.26,1681.44,1693.29,1760360000,1693.29
2006-10-09,1683.20,1698.38,1681.64,1691.08,1485280000,1691.08
2006-10-06,1682.42,1690.80,1678.55,1684.88,1672470000,1684.88
2006-10-05,1680.06,1690.41,1676.08,1689.43,1911090000,1689.43
2006-10-04,1637.36,1681.14,1634.23,1681.14,2190280000,1681.14
2006-10-03,1629.26,1646.74,1623.07,1640.29,1946800000,1640.29
2006-10-02,1650.32,1655.67,1631.36,1632.81,1769170000,1632.81
2006-09-29,1666.03,1666.03,1653.74,1654.13,1812120000,1654.13
2006-09-28,1658.43,1663.28,1645.20,1661.59,1805260000,1661.59
2006-09-27,1655.52,1665.61,1648.14,1655.67,2039100000,1655.67
2006-09-26,1649.82,1659.60,1644.29,1659.20,2011140000,1659.20
2006-09-25,1631.34,1653.86,1615.14,1650.37,1833860000,1650.37
2006-09-22,1633.15,1633.15,1615.98,1622.37,1646540000,1622.37
2006-09-21,1648.84,1654.40,1631.29,1634.87,1993110000,1634.87
2006-09-20,1636.02,1648.90,1635.28,1645.35,2164940000,1645.35
2006-09-19,1638.08,1638.08,1608.51,1621.07,2079920000,1621.07
2006-09-18,1631.48,1643.53,1625.80,1632.17,1914200000,1632.17
